2075;95034.953,2158239.6861,304965.047,3652882.7263
2076;95034.953,2157933.7489,200000.0,3547532.7526
2077;528901.2799,2598939.759,806409.4261,3675308.4935
2078;191544.2142,2502378.7629,808455.7858,3655341.7871
2079;185099.2783,2160041.3632,814900.7217,3655341.7871
2080;185099.2783,2158510.094,311166.835,3549968.8931
2081;2364983.2006,5516080.8777,2635016.7994,6000104.3879
2082;2460682.8535,2600267.6031,2617828.6099,4994681.6265
2083;2523067.602,3909461.6785,2601520.1715,4166433.5793
2084;523029.7455,3875762.4651,1040896.7189,4167592.0091
2085;91268.6951,213637.2162,965525.1297,381247.616
2086;377174.0819,48379.4027,839330.9999,297034.4812
2087;223235.9487,2490691.4889,808678.4794,3675308.4935
2088;277963.4952,3667944.6746,755631.5621,4256785.6833
2089;113067.9802,1391443.1503,826010.8402,1991592.5882
2090;172822.4465,1285153.756,939658.1833,2106801.4275
2091;8227708.8366,1328245.8826,8826887.838,1661102.4243
2092;9175105.5386,1493833.8095,9716593.2691,1661101.4503
2093;334795.1069,944758.4001,665111.5154,1364109.4462
2094;609315.3112,810350.1844,886509.7409,1190517.9056
2095;310711.3137,1204122.2114,647347.4027,1403455.391
2096;108279.0908,122923.8839,255031.9051,571508.3934
2097;107516.3257,45569.7688,292483.6743,537099.1393
2098;208817.851,78397.6047,292158.4615,467176.0816
2099;98845.4878,42.755,189065.7944,188664.2225
2100;-34387.6695,3691163.514,1056496.8434,4641211.3222
2101;-59873.8283,-181684.4474,121601.0908,-4546.7091
2102;140126.1717,18315.5526,321601.0908,195453.2909
2103;440126.1717,318315.5526,621601.0908,495453.2909
2104;-5485.2194,-41573.0563,49358.4299,24854.056
2105;144621.187,268893.6982,754437.1171,1116023.2183
2106;-12758.3863,364127.654,597156.0815,1215267.7129
2107;-144096.3194,452837.0993,466004.4434,1312921.2811
2108;-31951.2222,572987.1776,577981.6901,1425425.6636
2109;194167.6405,517099.6095,804074.7524,1367653.145
2110;63633.9851,561757.0447,673504.8982,1407756.9128
2111;77681.5889,643303.7072,687549.693,1488363.0845
2112;62966.2526,718635.6454,672837.3395,1564680.2543
2113;143466.0009,759736.6477,753342.4654,1606875.0246
2114;-138566.4037,104311.1241,555194.3047,833343.5429
2115;-191870.7416,162399.2059,501944.1573,896415.2851
2116;-90723.9019,171492.7198,602999.338,896058.2524
2117;-45885.7315,232173.8619,647812.0452,952557.5387
2118;-43219.2349,290432.1085,650477.3227,1010567.2162
2119;-167294.6617,321430.6938,526493.6293,1053148.0882
2120;-234607.1262,188842.8618,459260.6187,926860.4442
2121;5198.9077,354544.7782,698879.1066,1070168.4859
2122;66255.5022,381192.695,759930.7143,1093569.4844
2123;206764.7252,469443.095,900494.755,1194920.4678
2124;-143240.1479,423406.4453,550524.7887,1152875.5316
2125;-27149.9056,448573.4017,666540.008,1167210.8059
2126;-1383.8789,522608.26,692297.9002,1238845.105
2127;133625.1027,558168.4167,827315.0785,1276821.2132
2128;224382.1776,596577.493,918125.5802,1323700.7646
2129;280416.1168,640321.1472,974211.6163,1372685.3373
2130;35044.1763,681653.5339,728719.7558,1394498.1347
2131;64428.865,687025.4457,758076.2251,1399202.4446
2132;229122.5516,759323.8054,922869.7985,1486890.0905
2133;571666.4475,4457055.9815,744533.0195,5238700.0749
2134;219700.0105,4457055.9815,780299.9895,6344714.1457
2135;219700.0105,5234817.0673,686847.2228,6346936.4958
2136;29848.604,-5772.3915,1715329.5667,2361587.366
2137;177193.9008,119150.0944,760380.5516,674798.3066
2138;-886277.1113,180253.9819,897203.745,2106161.8204
2139;189879.5923,5163357.0668,419720.4077,5959651.8626
2140;197492.4947,5552353.6446,404953.9313,5763829.8115
2141;191005.3406,5222269.0375,418594.6594,5763829.8115
2142;192615.1157,5305643.7524,416984.8843,6712276.9974
2143;190941.3563,5218934.2613,418658.6437,6554118.7775
2144;186520.9794,4984429.4038,423079.0206,6866010.3299
2145;186520.9794,4984429.4038,423079.0206,6939545.2562
2146;187119.0831,5016655.1259,422480.9169,6939545.2562
2147;284708.7738,5110057.5726,420710.4323,6932859.992
2148;285462.3573,5549754.0443,493134.9464,5765288.2547
2149;263512.8106,4986218.6305,736487.1894,6940151.1708
2150;563878.1097,5109238.873,731748.2607,6933471.8623
2151;280586.2987,5431792.8644,719413.7013,6655205.4835
2152;280586.2987,5431792.8644,719413.7013,6655205.4835
2153;280586.2987,5431792.8644,719413.7013,6655205.4835
2154;-357823.2365,6037008.6939,1313632.3628,7230727.3772
2155;7171696.6425,-443214.7442,7987994.1609,898137.8027
2156;2455157.8437,8291190.7459,2713300.7926,8719950.3935
2157;418829.965,511786.6808,786046.9273,964701.5937
2158;171152.514,5337735.8606,782727.5582,6294944.9812
2159;19014.741,520498.5978,138830.5387,702310.2117
2160;319014.741,1120498.5978,438830.5387,1302310.2117
2161;683096.8457,796098.058,831378.3483,1101278.0837
2162;168436.8419,762783.6313,360812.0121,1106813.1989
2163;-8040784.5135,-2577524.921,3668901.4484,4785105.1096
2164;216765.7908,430940.4182,749815.4578,567130.2028
2165;216765.7599,430940.6441,749815.4456,567130.4335
2166;3560434.538,5580291.5675,3606886.6354,5717831.4618
2167;4390150.9946,5419736.8531,4610103.4021,6067242.1812
2168;5135093.2024,5589610.8009,5188263.009,5729238.3952
2169;48250.9349,60645.7231,106224.1264,141869.5837
2170;372543.8943,5034152.5582,631496.6208,5197602.9212
2171;4411686.9733,5474265.6264,4862072.541,5841128.6774
2172;3803735.2375,5622773.345,4770188.4652,6044107.2834
2173;3304926.1303,5845694.0008,3705756.9892,6141849.9873
2174;3519047.0257,5369499.9912,3878157.9357,5814600.9035
2175;191452.9794,766558.0809,288852.416,989076.8879
2176;5438667.1168,5568580.0317,5606974.4722,6042141.2701
2177;6390979.5111,5466989.5093,6609020.4889,6078869.0066
2178;7390450.4069,5440301.5811,7609549.5931,6042141.2701
2179;8390318.4332,5432557.9291,8511699.5509,6036576.6253
2180;144907.1658,140544.7241,877004.007,910679.6817
2188;645649.817,4357069.6495,672341.7574,4401998.1729
2189;338240.3423,4244734.3133,499898.4566,4335137.967
2190;596611.4462,4084308.8043,682618.5893,4202215.2545
2191;286465.6517,3584406.8722,383419.3684,3670266.5539
2192;-22918.6681,1712194.7333,1087301.8616,2703979.5939
2193;983515.7211,4728776.8709,2117458.3527,6223676.2306
2194;101862.7363,-112849.8856,816442.9269,1172979.4356
2195;516157.9103,8388396.8744,702913.683,8434573.1871
2196;109170.9682,6067782.8136,309508.5122,6404388.681
2197;427549.5197,6048124.1312,540107.0949,6223291.6278
2198;879516.8222,6096127.3728,909601.5029,6131788.1486
2199;4281183.8888,4392968.0714,4505148.2966,4731519.8034
2200;97561.9317,593157.099,515931.3447,978078.5634
2201;678873.8127,774064.9091,831501.0757,1272975.0968
2202;166049.917,83012.1015,833950.083,1350476.8155
2203;166042.8303,71943.8138,1126337.0053,1243960.8919
2204;706503.1492,249849.2582,3299457.5026,861046.3199
2205;351924.0102,27989.8177,657770.2583,183547.8428
2206;9373667.18,4042014.6038,9634397.1444,4663916.1654
2207;10364829.1208,3992196.1302,10635170.8792,4663916.1654
2208;11364573.0642,3975550.141,11635426.9358,4663916.1654
2209;12364233.1029,3953356.0953,12635766.8971,4663916.1654
2210;13365775.9271,4053234.7706,13634224.0729,4558396.006
2211;14366472.3072,4097629.826,14633527.6928,4608377.198
2212;15366297.5991,4085490.3379,15487475.002,4597269.9492
2213;383814.374,4830675.8312,621026.7478,5006262.6388
2214;766623.3264,1165841.133,1166909.0855,1552793.1534
2215;433395.1268,165846.4507,834004.3631,553466.8836
2216;-747891.8711,6627537.5424,668564.4126,9275706.2975
2217;335228.8845,6711010.8062,2306756.1425,9405116.9692
2219;496032.5947,4939627.4776,738045.9435,5328433.2354
2220;257300.9198,4816270.0938,758070.8655,5329002.5127
2222;214992.6958,121793.6623,1048654.4981,2187001.718
2223;258710.1067,122857.2981,1157943.9948,2186600.2033
2224;390131.5238,379734.8797,1081142.5981,2185694.0733
2225;5879734.426,1744000.3076,7125269.7437,2621031.8552
2226;5965413.2863,1779535.4389,7270232.3774,2554195.8658
2227;5802768.5811,1738307.6666,7346928.6408,2452463.3364
2228;5671873.5402,1816925.5902,7555229.0868,2475290.3439
2229;5528230.816,1384701.5952,7751890.9134,2503239.6463
2230;5979001.2708,1770238.7032,7122754.0974,2341806.4367
2231;1999305.5283,1101489.101,3972520.3257,1626770.086
2232;1979149.7191,1130530.2041,3992107.9609,1841334.1528
2233;1963481.9307,1139979.3453,4007333.8472,1748754.2722
2234;729279.2469,544012.5493,1267958.413,944836.6206
2235;552096.2163,160441.1749,789835.2694,670500.323
2236;306826.6397,36279.663,982215.8007,2363339.4629
2237;269601.5837,719323.295,941170.894,1912737.3391
2238;967478.5103,110223.103,2749590.4261,740927.1811
2239;248223.0193,129608.2845,1090397.7621,1708983.9407
2240;2028173.0113,226493.0329,2663556.2865,1821013.4076
2241;364427.2314,123289.6304,959684.5585,1129421.4938
2242;1287066.6337,124143.5865,1996484.8277,1476540.4978
2243;2219677.6918,124796.6784,3018783.2045,2677257.4183
2244;64721.2901,983120.0046,575105.0854,2367513.2205
2245;2661767.5171,917537.9343,3196519.1498,2367797.3976
2246;1154604.024,91829.9268,2158034.5895,602189.8808
2247;561897.6176,1722049.0791,2748307.7633,2268929.6
2248;593655.7373,84146.0734,1895381.6422,757391.3704
2249;104294.9553,2592496.1873,1106463.985,3155719.1933
2250;1538593.5579,73089.3038,1805534.405,186396.0688
2251;25368509.075,185420.5533,27168681.9172,1302317.8287
2252;18966187.0529,187223.4171,20246436.4391,946196.1057
2253;12366628.6853,99291.031,13736422.4786,985110.3762
2254;628069.6848,229850.5472,1216079.0375,2002795.1411
2255;2012502.8273,546683.9549,2595286.2522,2002254.5929
2256;259212.4565,90262.0804,3401250.327,1797357.1993
2257;111468.8412,366288.3864,954671.404,2186265.5455
2258;1183631.1829,286508.8576,2075448.4705,2186610.8465
2259;2343206.723,121316.362,3020750.9415,2185603.2333
2260;116071.8523,747947.1638,837761.3518,2260847.6417
2261;503103.0219,730813.7225,1231541.2872,1607028.5833
2262;828468.2698,730850.9202,1478081.3886,1328686.1485
2263;909126.0155,110626.288,1610215.359,424498.0529
2264;384209.7796,37702.8231,3084565.6507,1071912.9892
2265;1085416.4444,75077.08,2881420.035,750580.5282
2266;1065407.0674,116445.5897,2968193.5686,805860.565
2267;476301.5273,114241.4133,3034160.6344,769305.4562
2268;1359537.1215,106720.8287,3055343.2525,825523.7388
2269;7241196.8729,128656.7859,9265592.9584,981999.6828
2270;3807130.6123,142752.9914,5905041.0689,1080736.3326
2271;1199370.0752,170187.259,2818120.6333,868441.8189
2272;1189270.2206,149437.4511,2820843.01,687058.9427
2273;1268267.6217,69003.5378,2775132.0011,1237699.0627
2274;675005.4127,271229.8861,3267979.0713,882451.5001
2275;188050.7519,3397104.6431,1109183.2467,4194381.4331
2276;554215.4874,6618310.5764,3367252.4841,7651373.6825
2277;299810.8079,9940249.0466,4460168.7721,10850453.8141
2278;29483.6989,13155424.7379,3639474.5049,14199599.0344
2279;425010.5113,16466022.4813,1438225.5614,17328763.0358
2280;931847.2962,3369377.1179,2321212.9506,3898273.362
2281;910594.922,6631994.2215,2341631.6892,7572222.7582
2282;895795.0512,9973265.9935,2355850.6862,10549177.8436
2283;11034867.4013,6603080.0088,12061026.4873,7217294.3663
2284;9961614.3244,3369693.8181,12461184.7694,4026798.0904
2285;664881.148,52596.4194,2587747.2534,753513.1353
2286;615991.6702,100058.0964,2562474.2627,851655.2261
2287;1228434.0007,80297.0019,2469645.8263,787305.7379
2288;1210505.1366,66912.5176,2955328.5829,819257.1917
2289;1582790.914,181901.7988,2804500.9525,864341.4051
2290;589901.9586,256016.2415,779860.9755,377635.8573
2291;289901.9586,656016.2415,479860.9755,777635.8573
2292;289901.9242,656016.1962,479861.0004,777635.8502
2294;4385079.6282,5163355.4293,4629476.7349,5211445.7527
2295;5362431.5961,4814434.7515,5621383.6674,5074752.7288
2308;166442.9014,9335949.5888,611140.4327,9696022.6373
2309;55617.1381,9224367.8795,777602.1072,9557449.9372
2310;463304.7358,9635023.4625,722439.6602,9762355.3166
2311;132870.0586,248941.8022,783627.8466,708594.8485
2312;280125.1059,994911.7995,390330.7551,1083853.5813
2313;500000.0,1326434.4008,532658.5155,1348566.3413
2314;15061.4895,-10785.3886,1292758.2716,668851.9672
2315;523258.2827,3945450.798,702987.1235,4167592.0091
2316;297012.8765,3900959.3863,635333.7929,4165775.0843
2317;178300.8716,412430.9484,1706711.441,1697107.3787
2318;-1432635.9029,-947271.2573,824135.7918,851567.5965
2319;373667.18,4042014.6038,634397.1444,4663916.1654
2320;364829.1208,3992196.1302,635170.8792,4663916.1654
2321;364573.0642,3975550.141,635426.9358,4663916.1654
2322;364233.1029,3953356.0953,635766.8971,4663916.1654
2323;365775.9271,4053234.7706,634224.0729,4558396.006
2324;366472.3072,4097629.826,633527.6928,4608377.198
2325;366297.5991,4085490.3379,487475.002,4597269.9492
2326;806677.9759,802420.9858,876817.5647,853384.7903
2327;13374696.3379,3924285.4546,13772431.6695,4552688.3504
2328;14208063.8847,3230730.9238,14791936.1153,5236075.5537
2329;15203003.585,3026660.3366,15796996.415,5452871.2628
2330;16204104.8273,3072129.1489,16795895.1727,5310558.2745
2331;17188274.3198,2341523.5714,17811725.6802,4785979.8104
2332;18189119.8277,2385857.146,18810880.1723,4708209.0701
2333;19182473.0608,2012392.6414,19817526.9392,5000440.8323
2334;20190526.0032,2457902.5013,20809473.9968,5714208.9193
2335;21189958.7537,2429083.8646,21810041.2463,5940021.8514
2336;22247158.4323,4532694.8313,22752841.5677,5854362.0049
